x1,x2,x3,t
-7.433466,-8.278149,24.480418,1.310000
-7.522559,-8.458770,24.453734,1.320000
-7.620502,-8.642066,24.449085,1.330000
-7.726641,-8.826635,24.467113,1.340000
-7.840244,-9.010950,24.508320,1.350000
-7.960497,-9.193356,24.573047,1.360000
-8.086501,-9.372074,24.661447,1.370000
-8.217266,-9.545207,24.773455,1.380000
-8.351713,-9.710754,24.908759,1.390000
-8.488668,-9.866628,25.066772,1.400000
-8.626869,-10.010684,25.246605,1.410000
-8.764968,-10.140755,25.447041,1.420000
-8.901540,-10.254693,25.666517,1.430000
-9.035092,-10.350416,25.903110,1.440000
-9.164084,-10.425971,26.154535,1.450000
-9.286942,-10.479583,26.418152,1.460000
-9.402086,-10.509728,26.690987,1.470000
-9.507956,-10.515189,26.969761,1.480000
-9.603040,-10.495118,27.250944,1.490000
-9.685912,-10.449083,27.530811,1.500000
-9.755260,-10.377117,27.805518,1.510000
-9.809925,-10.279742,28.071189,1.520000
-9.848932,-10.157980,28.324003,1.530000
-9.871519,-10.013347,28.560292,1.540000
-9.877166,-9.847831,28.776636,1.550000
-9.865610,-9.663841,28.969946,1.560000
-9.836862,-9.464150,29.137549,1.570000
-9.791210,-9.251820,29.277245,1.580000
-9.729216,-9.030110,29.387356,1.590000
-9.651706,-8.802392,29.466753,1.600000
-9.559748,-8.572052,29.514858,1.610000
-9.454629,-8.342403,29.531636,1.620000
-9.337822,-8.116604,29.517563,1.630000
-9.210948,-7.897592,29.473580,1.640000
-9.075744,-7.688027,29.401037,1.650000
-8.934016,-7.490248,29.301633,1.660000
-8.787607,-7.306254,29.177343,1.670000
-8.638355,-7.137693,29.030357,1.680000
-8.488067,-6.985865,28.863014,1.690000
-8.338482,-6.851739,28.677746,1.700000
-8.191253,-6.735975,28.477023,1.710000
-8.047922,-6.638957,28.263312,1.720000
-7.909912,-6.560824,28.039043,1.730000
-7.778512,-6.501511,27.806583,1.740000
-7.654873,-6.460780,27.568213,1.750000
-7.540008,-6.438257,27.326119,1.760000
-7.434792,-6.433461,27.082387,1.770000
-7.339967,-6.445836,26.838998,1.780000
-7.256150,-6.474768,26.597829,1.790000
-7.183838,-6.519607,26.360663,1.800000
-7.123416,-6.579684,26.129193,1.810000
-7.075171,-6.654315,25.905027,1.820000
-7.039295,-6.742813,25.689700,1.830000
-7.015897,-6.844485,25.484682,1.840000
-7.005011,-6.958634,25.291382,1.850000
-7.006599,-7.084553,25.111159,1.860000
-7.020558,-7.221517,24.945322,1.870000
-7.046727,-7.368778,24.795138,1.880000
-7.084885,-7.525547,24.661831,1.890000
-7.134758,-7.690989,24.546579,1.900000
-7.196011,-7.864201,24.450516,1.910000
-7.268256,-8.044206,24.374719,1.920000
-7.351041,-8.229933,24.320205,1.930000
-7.443851,-8.420203,24.287912,1.940000
-7.546104,-8.613720,24.278690,1.950000
-7.657142,-8.809058,24.293274,1.960000
-7.776228,-9.004652,24.332269,1.970000
-7.902538,-9.198793,24.396116,1.980000
-8.035158,-9.389631,24.485069,1.990000
-8.173079,-9.575176,24.599160,2.000000
-8.315191,-9.753309,24.738167,2.010000
-8.460282,-9.921807,24.901582,2.020000
-8.607042,-10.078364,25.088575,2.030000
-8.754061,-10.220627,25.297968,2.040000
-8.899841,-10.346247,25.528208,2.050000
-9.042804,-10.452921,25.777347,2.060000
-9.181308,-10.538465,26.043041,2.070000
-9.313668,-10.600869,26.322543,2.080000
-9.438179,-10.638376,26.612728,2.090000
-9.553147,-10.649549,26.910122,2.100000
-9.656920,-10.633342,27.210953,2.110000
-9.747924,-10.589160,27.511209,2.120000
-9.824705,-10.516910,27.806729,2.130000
-9.885961,-10.417040,28.093285,2.140000
-9.930587,-10.290554,28.366690,2.150000
-9.957703,-10.139011,28.622907,2.160000
-9.966687,-9.964501,28.858151,2.170000
-9.957201,-9.769595,29.068992,2.180000
-9.929203,-9.557284,29.252448,2.190000
-9.882956,-9.330887,29.406057,2.200000
-9.819028,-9.093961,29.527930,2.210000
-9.738276,-8.850193,29.616786,2.220000
-9.641830,-8.603294,29.671960,2.230000
-9.531064,-8.356902,29.693388,2.240000
-9.407556,-8.114480,29.681574,2.250000
-9.273055,-7.879247,29.637540,2.260000
-9.129436,-7.654107,29.562759,2.270000
-8.978651,-7.441610,29.459087,2.280000
-8.822694,-7.243919,29.328683,2.290000
-8.663555,-7.062805,29.173935,2.300000
-8.503184,-6.899652,28.997388,2.310000
-8.343460,-6.755472,28.801676,2.320000
-8.186161,-6.630938,28.589469,2.330000
-8.032947,-6.526419,28.363422,2.340000
-7.885340,-6.442018,28.126137,2.350000
-7.744717,-6.377614,27.880136,2.360000
-7.612302,-6.332905,27.627842,2.370000
-7.489169,-6.307447,27.371562,2.380000
-7.376241,-6.300687,27.113486,2.390000
-7.274295,-6.311996,26.855688,2.400000
-7.183973,-6.340696,26.600123,2.410000
-7.105791,-6.386076,26.348642,2.420000
-7.040145,-6.447416,26.102993,2.430000
-6.987325,-6.523991,25.864837,2.440000
-6.947527,-6.615079,25.635755,2.450000
-6.920858,-6.719965,25.417259,2.460000
-6.907346,-6.837938,25.210801,2.470000
-6.906952,-6.968287,25.017782,2.480000
-6.919568,-7.110290,24.839557,2.490000
-6.945032,-7.263208,24.677441,2.500000
-6.983121,-7.426268,24.532711,2.510000
-7.033560,-7.598650,24.406607,2.520000
-7.096020,-7.779476,24.300329,2.530000
-7.170113,-7.967785,24.215032,2.540000
-7.255395,-8.162524,24.151816,2.550000
-7.351358,-8.362528,24.111714,2.560000
-7.457425,-8.566503,24.095678,2.570000
-7.572944,-8.773019,24.104556,2.580000
-7.697181,-8.980488,24.139070,2.590000
-7.829315,-9.187165,24.199788,2.600000
-7.968428,-9.391142,24.287092,2.610000
-8.113500,-9.590346,24.401143,2.620000
-8.263403,-9.782556,24.541844,2.630000
-8.416899,-9.965411,24.708804,2.640000
-8.572636,-10.136442,24.901297,2.650000
-8.729155,-10.293107,25.118225,2.660000
-8.884888,-10.432832,25.358091,2.670000
