Lyapunov exponents: inf,inf
Lyapunov exponents: -0.0130828,0.0476231
Lyapunov exponents: -0.00106808,0.0352142
Lyapunov exponents: -0.000708244,0.0293967
Lyapunov exponents: 0.00268536,0.0298226
Lyapunov exponents: 0.00338567,0.0273309
Lyapunov exponents: 0.00837051,0.0233889
Lyapunov exponents: 0.0069356,0.0206719
Lyapunov exponents: 0.00827216,0.0197065
Lyapunov exponents: 0.0101127,0.0201068
Lyapunov exponents: 0.00942234,0.0187426
Lyapunov exponents: 0.00984876,0.0184588
Lyapunov exponents: 0.0113248,0.0186765
Lyapunov exponents: 0.0108874,0.0176715
Lyapunov exponents: 0.00946239,0.0172372
Lyapunov exponents: 0.0094302,0.0175327
Lyapunov exponents: 0.0105562,0.0182401
Lyapunov exponents: 0.0101489,0.0176682
Lyapunov exponents: 0.0107996,0.0167665
Lyapunov exponents: 0.0107532,0.0170247
Lyapunov exponents: 0.0102758,0.0168833
Lyapunov exponents: 0.0107681,0.0171346
Lyapunov exponents: 0.0102831,0.017093
Lyapunov exponents: 0.010363,0.0169126
Lyapunov exponents: 0.0105409,0.0166402
Lyapunov exponents: 0.0113581,0.0174181
Lyapunov exponents: 0.0112513,0.016647
Lyapunov exponents: 0.0106302,0.0163175
Lyapunov exponents: 0.0103275,0.0159103
Lyapunov exponents: 0.0100046,0.0158238
Lyapunov exponents: 0.00992841,0.0152584
Lyapunov exponents: 0.00983778,0.0151371
Lyapunov exponents: 0.00975277,0.014938
Lyapunov exponents: 0.0101147,0.0149484
Lyapunov exponents: 0.0108349,0.0153811
Lyapunov exponents: 0.0108825,0.0146916
Lyapunov exponents: 0.0108172,0.0144032
Lyapunov exponents: 0.010476,0.0143808
Lyapunov exponents: 0.0103146,0.0144807
Lyapunov exponents: 0.0107096,0.0145552
Lyapunov exponents: 0.0108766,0.0149757
Lyapunov exponents: 0.0107082,0.0150785
Lyapunov exponents: 0.0104531,0.0150617
Lyapunov exponents: 0.0106491,0.0147828
Lyapunov exponents: 0.0105957,0.014839
Lyapunov exponents: 0.0103374,0.0143371
Lyapunov exponents: 0.0103399,0.0142016
Lyapunov exponents: 0.0103372,0.0144044
Lyapunov exponents: 0.0106721,0.0145109
Lyapunov exponents: 0.0106442,0.0143808
Lyapunov exponents: 0.0102979,0.0141905
Lyapunov exponents: 0.0101214,0.0141078
Lyapunov exponents: 0.00993049,0.0139728
Lyapunov exponents: 0.0102416,0.0138463
Lyapunov exponents: 0.0103109,0.0139917
Lyapunov exponents: 0.00994676,0.0140827
Lyapunov exponents: 0.00980323,0.0140978
Lyapunov exponents: 0.0100636,0.0143765
Lyapunov exponents: 0.00999369,0.0144795
Lyapunov exponents: 0.00992046,0.0146382
Lyapunov exponents: 0.0100736,0.0147716
Lyapunov exponents: 0.00991936,0.0149616
Lyapunov exponents: 0.00952285,0.0149051
Lyapunov exponents: 0.00947482,0.0150807
Lyapunov exponents: 0.00947577,0.0147433
Lyapunov exponents: 0.00923567,0.0146388
Lyapunov exponents: 0.00937894,0.0146759
Lyapunov exponents: 0.00972044,0.0149811
Lyapunov exponents: 0.00964221,0.014691
Lyapunov exponents: 0.00979432,0.0144327
Lyapunov exponents: 0.00948852,0.0143438
Lyapunov exponents: 0.00956579,0.0143282
Lyapunov exponents: 0.00981466,0.0144456
Lyapunov exponents: 0.00980566,0.0143284
Lyapunov exponents: 0.00958365,0.014204
Lyapunov exponents: 0.00946265,0.014146
Lyapunov exponents: 0.00936483,0.0140484
Lyapunov exponents: 0.0095865,0.0140117
Lyapunov exponents: 0.00972133,0.0141572
Lyapunov exponents: 0.00954519,0.0141186
Lyapunov exponents: 0.00953205,0.0140837
Lyapunov exponents: 0.00981817,0.014244
Lyapunov exponents: 0.00970039,0.0141023
Lyapunov exponents: 0.00979422,0.0141178
Lyapunov exponents: 0.00981695,0.0142494
Lyapunov exponents: 0.00974633,0.0143423
Lyapunov exponents: 0.00947751,0.0143658
Lyapunov exponents: 0.00968412,0.0144895
Lyapunov exponents: 0.00961483,0.0144404
Lyapunov exponents: 0.00965109,0.014481
Lyapunov exponents: 0.00960925,0.0144996
Lyapunov exponents: 0.00955046,0.0144268
Lyapunov exponents: 0.0096073,0.0144433
Lyapunov exponents: 0.00970336,0.014312
Lyapunov exponents: 0.00955921,0.0142719
Lyapunov exponents: 0.00966401,0.0140976
Lyapunov exponents: 0.00990289,0.0139681
Lyapunov exponents: 0.00986938,0.0138043
Lyapunov exponents: 0.00976744,0.0137717
Lyapunov exponents: 0.00973425,0.0136569
Lyapunov exponents: 0.00956862,0.0136615
Lyapunov exponents: 0.00945796,0.0138015
Lyapunov exponents: 0.00943089,0.0137594
Lyapunov exponents: 0.00939459,0.0137327
Lyapunov exponents: 0.00937511,0.0138009
Lyapunov exponents: 0.00960457,0.0139136
Lyapunov exponents: 0.00964625,0.0137983
Lyapunov exponents: 0.00974966,0.0139332
Lyapunov exponents: 0.00967241,0.0139353
Lyapunov exponents: 0.00952144,0.013852
Lyapunov exponents: 0.00950394,0.0139172
Lyapunov exponents: 0.00947037,0.0138628
Lyapunov exponents: 0.00948767,0.013887
Lyapunov exponents: 0.00956623,0.013998
Lyapunov exponents: 0.00951635,0.0140598
